id,family_title,indicator,scope,frequency,status
F01-01,External economies — GDP,Real GDP growth,US,Q,PUBLIC_EXACT_API
F01-02,External economies — GDP,Real GDP growth,Eurozone,Q,PUBLIC_EXACT_API
F01-03,External economies — GDP,Real GDP growth,Japan,Q,PUBLIC_EXACT_API
F01-04,External economies — GDP,Real GDP growth,China,Q,PUBLIC_EXACT_API
F01-05,External economies — GDP,Real GDP growth,South Korea,Q,PUBLIC_EXACT_API
F01-06,External economies — GDP,Real GDP growth,Taiwan,Q,PUBLIC_EXACT_API
F01-07,External economies — GDP,Real GDP growth,Hong Kong,Q,PUBLIC_EXACT_API
F01-08,External economies — GDP,Real GDP growth,Indonesia,Q,PUBLIC_EXACT_API
F01-09,External economies — GDP,Real GDP growth,Malaysia,Q,PUBLIC_EXACT_API
F01-10,External economies — GDP,Real GDP growth,Philippines,Q,PUBLIC_EXACT_API
F01-11,External economies — GDP,Real GDP growth,Thailand,Q,PUBLIC_EXACT_API
F01-12,External economies — GDP,Real GDP growth,Vietnam,Q,PUBLIC_EXACT_API
F01-13,External economies — GDP,Real GDP growth (fiscal-year basis footnoted),India,Q,PUBLIC_EXACT_API
F01-14,External economies — GDP,"GDP expenditure decomposition (private consumption, GFCF, inventories, govt, exports, imports; ppt contributions)",all F01 economies where public,Q,PUBLIC_EXACT_API
F01-15,External economies — GDP,"Full-year GDP actuals and forecasts, provider-labelled and vintage-preserved",all F01 economies,A,PUBLIC_COMPILED_RELEASES
F01-16,External economies — GDP,GDP forecast-revision table (upgraded/downgraded economies with stated reasons),all F01 economies,per vintage,PUBLIC_COMPILED_RELEASES
F01-17,External economies — GDP,Advance/preliminary vs revised GDP estimate tracking,"US, SG, others w/ advance cycle",Q,PUBLIC_EXACT_API
F01-18,External economies — GDP,"US federal government shutdown, Oct–Nov 2025 (data-release disruptions; CBO cost scenarios)",US,event,PUBLIC_EXACT_RELEASE
F02-01,External economies — trade & exports,Merchandise exports (rolling 10-month table + full history),"US, CN, KR, TW, HK + all other F01 economies + SG",M,PUBLIC_EXACT_API
F02-02,External economies — trade & exports,Merchandise imports,same,M,PUBLIC_EXACT_API
F02-03,External economies — trade & exports,Trade balance,same,M,PUBLIC_EXACT_API
F02-04,External economies — trade & exports,Exports by destination (incl. China US vs non-US split; EZ/JP exposure views),major exporters,M,PUBLIC_EXACT_API
F02-05,External economies — trade & exports,"Merchandise exports to US as % of GDP (exposure metric, by economy)",Asian economies + EZ,A/Q,PUBLIC_EXACT_API
F02-06,External economies — trade & exports,Intra-East Asia trade (trade diversion / supply-chain adjustment view),region,Q,PUBLIC_RECONSTRUCTED
F02-07,External economies — trade & exports,AI-related goods exports by origin economy (documented HS-code basket),project economy list,Q,PUBLIC_RECONSTRUCTED
F02-08,External economies — trade & exports,"Global merchandise trade growth (full-year actual + projection, e.g. 6.3% in 2025)",world,A/Q,PUBLIC_EXACT_DOWNLOAD
F02-09,External economies — trade & exports,Semiconductor and AI-chip exports,"TW, KR (+SG cross-ref F11)",M,PUBLIC_EXACT_RELEASE
F02-10,External economies — trade & exports,US merchandise imports: monthly yoy + quarterly 1Q24–4Q25 (1Q25 front-loading surge),US,M/Q,PUBLIC_EXACT_API
F02-11,External economies — trade & exports,US trade balance (merchandise deficit trends),US,M,PUBLIC_EXACT_API
F02-12,External economies — trade & exports,"Average merchandise trade balance with US, 2018–2023, by economy (ranking)",partners,static,PUBLIC_EXACT_API
F03-01,Purchasing Managers' Indices,Manufacturing PMI (official NBS),China,M,PUBLIC_EXACT_RELEASE
F03-02,Purchasing Managers' Indices,Manufacturing PMI (ISM),US,M,PUBLIC_EXACT_DOWNLOAD
F03-03,Purchasing Managers' Indices,Manufacturing PMI table set (mixed public routes by economy),7 economies,M,PUBLIC_COMPILED_RELEASES
F03-04,Purchasing Managers' Indices,Singapore manufacturing PMI (publisher restricts current bulletins),SG,M,PROPRIETARY
F03-05,Purchasing Managers' Indices,PMI sub-indices where public (new export orders etc.),as available,M,PUBLIC_PARTIAL
F03-06,Purchasing Managers' Indices,Global/composite PMI where recoverable,world,M,PUBLIC_VISIBLE_RESTRICTED
F03-07,Purchasing Managers' Indices,Services PMI table set,"US, Eurozone, Japan",M,PUBLIC_COMPILED_RELEASES
F03-08,Purchasing Managers' Indices,US Composite PMI,US,M,PUBLIC_VISIBLE_RESTRICTED
F03-09,Purchasing Managers' Indices,"Singapore Manufacturing PMI sub-indices (new orders, output, employment, …; expansion/contraction readings)",SG,M,PROPRIETARY
F03-10,Purchasing Managers' Indices,Singapore Electronics PMI (paired with electronics IIP),SG,M,PROPRIETARY
F04-01,Inflation & monetary policy,Headline CPI,"US, EZ (HICP), JP, CN, KR, TW, HK, ASEAN, IN, SG",M,PUBLIC_EXACT_API
F04-02,Inflation & monetary policy,Core CPI (national definitions labelled; incl. MAS Core Inflation),same,M,PUBLIC_EXACT_API
F04-03,Inflation & monetary policy,US PCE & core PCE (incl. housing-rent pass-through view),US,M,PUBLIC_EXACT_API
F04-04,Inflation & monetary policy,Producer prices (US PPI overall; EZ; CN; others),major economies,M,PUBLIC_EXACT_API
F04-05,Inflation & monetary policy,"Inflation decomposition (EZ HICP: food, energy, NEIG, services; US; SG)","US, EZ, SG min.",M,PUBLIC_EXACT_API
F04-06,Inflation & monetary policy,"Policy rates (Fed, ECB incl. Jun-2025 cut to 2.0%, BoJ, PBOC/LPR, MAS stance, regional CBs)",majors + region,per meeting,PUBLIC_EXACT_API
F04-07,Inflation & monetary policy,"Fed policy-rate projections (dot plot vintages, e.g. Sep-2024 vs Dec-2024) + market-implied path",US,per SEP,PUBLIC_EXACT_DOWNLOAD
F04-08,Inflation & monetary policy,Consumer inflation expectations: UMich 1-yr & 5–10yr medians; EZ expectations,"US, EZ",M/Q,PUBLIC_EXACT_API
F04-09,Inflation & monetary policy,Central-bank decisions timeline (events),majors,event,PUBLIC_EXACT_API
F04-10,Inflation & monetary policy,"US CPI by category (new vehicles, household furnishings, apparel, core)",US,M,PUBLIC_EXACT_API
F04-11,Inflation & monetary policy,"US PPI sectoral detail (copper, iron & steel, motor vehicles)",US,M,PUBLIC_EXACT_API
F05-01,US tariffs & trade policy,US tariff rates by economy across successive legal regimes,US vs partners,event/level,PUBLIC_EXACT_RELEASE
F05-02,US tariffs & trade policy,"US sectoral tariffs (Section 232: semiconductors, pharmaceuticals, steel/aluminium, autos)",US,event/level,PUBLIC_EXACT_RELEASE
F05-03,US tariffs & trade policy,"US effective tariff rate, monthly (% of goods imports; Jan-25 2.4% → Aug-25 18.6% path; methodology documented)",US,M,PUBLIC_RECONSTRUCTED
F05-04,US tariffs & trade policy,"US tariff timeline (Liberation Day, pause, truce, resumption, court ruling; primary-source dated)",US/global,event,PUBLIC_EXACT_RELEASE
F05-05,US tariffs & trade policy,Partner-level tariff exposure (exports to US in tariffed categories),Asian economies + EZ + SG,Q,PUBLIC_RECONSTRUCTED
F05-06,US tariffs & trade policy,Tariff pass-through evidence (import/consumer price wedges; links F04-10/11),US,M,PUBLIC_EXACT_RELEASE
F05-07,US tariffs & trade policy,"Statutory vs effective US tariff rate (Becker Friedman Institute methodology, cited + reproduced where licence permits)",US,M/Q,PUBLIC_VISIBLE_RESTRICTED
F05-08,US tariffs & trade policy,Summary table: US tariffs for key economies,US vs partners,per update,PUBLIC_EXACT_RELEASE
F05-09,US tariffs & trade policy,US–China trade arrangement of November 2025 (primary texts),US-CN,event,PUBLIC_EXACT_RELEASE
F05-10,US tariffs & trade policy,US Economic & Trade Policy Uncertainty indices (std devs from 2017–24 average),US,M,PUBLIC_EXACT_DOWNLOAD
F05-11,US tariffs & trade policy,US Consumer Sentiment Index (University of Michigan),US,M,PUBLIC_EXACT_DOWNLOAD
F05-12,US tariffs & trade policy,US personal consumption: real PCE + retail sales,US,M,PUBLIC_EXACT_RELEASE
F05-13,US tariffs & trade policy,"US labour market: non-farm payrolls (3mma), unemployment rate, vacancies-to-unemployed ratio, nominal wage growth",US,M,PUBLIC_EXACT_RELEASE
F06-01,Global financial conditions,Broad financial-conditions index (public substitute presented under its own name),global,M/W,PUBLIC_VISIBLE_RESTRICTED
F06-02,Global financial conditions,OFR Financial Stress Index,global/US,D,PUBLIC_EXACT_DOWNLOAD
F06-03,Global financial conditions,Equity volatility index (redistribution restricted; cited with link-out),US,D,PUBLIC_VISIBLE_RESTRICTED
F06-04,Global financial conditions,"UST yields (2y, 10y, curve)",US,D,PUBLIC_EXACT_DOWNLOAD
F06-05,Global financial conditions,Credit spreads (IG/HY OAS),US,D,NEEDS_REVIEW
